title,year,rating,rank,genres,plot,directors,actors,release_date,running_time_secs,image_url
Ain't Them Bodies Saints,2013,6.9,1342,"['Crime', 'Drama', 'Romance']",The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,['David Lowery'],"['Rooney Mara', 'Casey Affleck', 'Ben Foster']",2013-01-20,5760,http://ia.media-imdb.com/images/M/MV5BMjg2MjI1OTU2M15BMl5BanBnXkFtZTcwODc3MzM5OQ@@._V1_SX400_.jpg
Air America,1990,5.5,4104,"['Action', 'Comedy']",A young pilot finds himself recruited into a covert and corrupt CIA airlift organization operating in Vietnam War Era Laos.,['Roger Spottiswoode'],"['Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis']",1990-08-10,6780,http://ia.media-imdb.com/images/M/MV5BMTMzNTkwNjUxNV5BMl5BanBnXkFtZTYwNjQ1MzQ5._V1_SX400_.jpg
Air Force One,1997,6.3,2541,"['Action', 'Adventure', 'Drama', 'Thriller']","Hijackers seize the plane carrying the President of the United States and his family, but he (an ex-soldier) works from hiding to defeat them.",['Wolfgang Petersen'],"['Harrison Ford', 'Gary Oldman', 'Glenn Close']",1997-07-21,7440,http://ia.media-imdb.com/images/M/MV5BMTg4NDM4NzA2N15BMl5BanBnXkFtZTcwOTA2NDU2MQ@@._V1_SX400_.jpg
Airheads,1994,5.8,4033,"['Comedy', 'Music']",Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head DJ refuses to play them.,['Michael Lehmann'],"['Brendan Fraser', 'Steve Buscemi', 'Adam Sandler']",1994-08-05,5520,http://ia.media-imdb.com/images/M/MV5BMjEyMDkwMjE5Ml5BMl5BanBnXkFtZTcwMTU4MDAyMQ@@._V1_SX400_.jpg
Airplane II: The Sequel,1982,5.9,3166,"['Comedy', 'Sci-Fi']",A faulty computer causes a passenger space shuttle to head straight for the Sun. Can Ted Striker save the day and get the shuttle back on track--again???,['Ken Finkleman'],"['Robert Hays', 'Julie Hagerty', 'Lloyd Bridges']",1982-12-10,5100,http://ia.media-imdb.com/images/M/MV5BMTI2MjM3ODk0M15BMl5BanBnXkFtZTcwMzc1ODAyMQ@@._V1_SX400_.jpg
Airplane!,1980,7.8,941,['Comedy'],An airplane crew takes ill. Surely the only person capable of landing the plane is an ex-pilot afraid to fly. But don't call him Shirley.,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen']",1980-07-02,5280,http://ia.media-imdb.com/images/M/MV5BNDU2MjE4MTcwNl5BMl5BanBnXkFtZTgwNDExOTMxMDE@._V1_SX400_.jpg
Ajeossi,2010,7.8,4840,"['Action', 'Crime', 'Thriller']",A quiet pawnshop keeper with a violent past takes on a drug- and organ trafficking ring in hope of saving the child who is his only friend.,['Jeong-beom Lee'],"['Bin Won', 'Sae-ron Kim', 'Tae-hoon Kim']",2010-08-05,7140,http://ia.media-imdb.com/images/M/MV5BMTI5OTQ5Mzg0N15BMl5BanBnXkFtZTcwNTA0OTAxNA@@._V1_SX400_.jpg
Akeelah and the Bee,2006,7.4,4548,['Drama'],A young girl from South Los Angeles tries to make it to the National Spelling Bee.,['Doug Atchison'],"['Angela Bassett', 'Laurence Fishburne', 'Keke Palmer']",2006-03-16,6720,http://ia.media-imdb.com/images/M/MV5BMTUzMDIwNjIzM15BMl5BanBnXkFtZTcwNTczODQzMQ@@._V1_SX400_.jpg
Akira,1988,7.9,3375,"['Animation', 'Sci-Fi']",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psionic psychopath that only two kids and a group of psionics can stop.,['Katsuhiro Ohtomo'],"['Nozomu Sasaki', 'Mami Koyama', 'Mitsuo Iwata']",1988-07-16,7440,http://ia.media-imdb.com/images/M/MV5BMjA5NzIwMjQ4MV5BMl5BanBnXkFtZTcwMDEwNzQyMQ@@._V1_SX400_.jpg
Akmareul boatda,2010,7.7,1609,"['Crime', 'Drama', 'Thriller']","When his pregnant fiancee becomes the latest victim of a serial killer, a secret agent blurs the line between good and evil in his pursuit of revenge.",['Kim Jee-Woon'],"['Byung-hun Lee', 'Min-sik Choi', 'In-seo Kim']",2010-08-12,8460,http://ia.media-imdb.com/images/M/MV5BMTY1NjE1NTE0MV5BMl5BanBnXkFtZTcwOTYzNjUzNA@@._V1_SX400_.jpg
Aladdin,1992,7.9,642,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","Aladdin, a street urchin, accidentally meets Princess Jasmine, who is in the city undercover. They love each other, but she can only marry a prince.","['Ron Clements', 'John Musker']","['Scott Weinger', 'Robin Williams', 'Linda Larkin']",1992-11-11,5400,http://ia.media-imdb.com/images/M/MV5BNTI4ODQ1MzAzNV5BMl5BanBnXkFtZTgwMzU4NzMxMDE@._V1_SX400_.jpg
Alan Partridge: Alpha Papa,2013,7.8,2908,['Comedy'],"When famous DJ Alan Partridge's radio station is taken over by a new media conglomerate, it sets in motion a chain of events which see Alan having to work with the police to defuse a potentially violent siege.",['Declan Lowney'],"['Steve Coogan', 'Colm Meaney', 'Sean Pertwee']",2013-07-24,5400,http://ia.media-imdb.com/images/M/MV5BMTEwMjYyOTA2MDReQTJeQWpwZ15BbWU4MDU2NDM1MDAx._V1_SX400_.jpg
Albatross,2011,6.1,4706,['Drama'],"Beth, a bookish teenager, befriends Emilia, an aspiring novelist who has just arrived in town. Emilia soon begins an affair with Beth's father that threatens to have devastating consequences.",['Niall MacCormick'],"['Felicity Jones', 'Jessica Brown Findlay', 'Sebastian Koch']",2011-06-19,5400,http://ia.media-imdb.com/images/M/MV5BMjI3ODY3OTczNF5BMl5BanBnXkFtZTcwODkxNTE0Ng@@._V1_SX400_.jpg
Albert Nobbs,2011,6.5,2545,['Drama'],"Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",['Rodrigo García'],"['Glenn Close', 'Mia Wasikowska', 'Aaron Taylor-Johnson']",2011-09-02,6780,http://ia.media-imdb.com/images/M/MV5BMTM1MjU1NTYzMV5BMl5BanBnXkFtZTcwODk2NzAwNw@@._V1_SX400_.jpg
Alex Cross,2012,4.9,1002,"['Action', 'Crime', 'Mystery', 'Thriller']",A homicide detective is pushed to the brink of his moral and physical limits as he tangles with a ferociously skilled serial killer who specializes in torture and pain.,['Rob Cohen'],"['Tyler Perry', 'Matthew Fox', 'Rachel Nichols']",2012-10-15,6060,http://ia.media-imdb.com/images/M/MV5BMjE1MDE0NjUyMV5BMl5BanBnXkFtZTcwNjQzNjg5Nw@@._V1_SX400_.jpg
Alexander,2004,5.4,1139,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Romance', 'War']","Alexander, the King of Macedonia and one of the greatest military leaders in the history of warfare, conquers much of the known world.",['Oliver Stone'],"['Colin Farrell', 'Anthony Hopkins', 'Rosario Dawson']",2004-11-16,10500,http://ia.media-imdb.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_SX400_.jpg
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,0.0,4312,['Family'],"Alexander wakes up with gum in his hair, and things just get worse as his day progresses.",['Miguel Arteta'],"['Jennifer Garner', 'Steve Carell', 'Bella Thorne']",2014-10-10,0,
Alfie,2004,6.0,4001,"['Comedy', 'Drama', 'Romance']",A cockney womanizer learns the hard way about the dangers of his actions.,['Charles Shyer'],"['Jude Law', 'Sienna Miller', 'Susan Sarandon']",2004-10-22,6180,http://ia.media-imdb.com/images/M/MV5BNzU0NjgyNjM0N15BMl5BanBnXkFtZTcwMTEwMDgyMQ@@._V1_SX400_.jpg
Ali,2001,6.6,2160,"['Biography', 'Drama', 'Sport']","A biography of sports legend, Muhammad Ali, from his early days to his days in the ring.",['Michael Mann'],"['Will Smith', 'Jamie Foxx', 'Jon Voight']",2001-12-11,9420,http://ia.media-imdb.com/images/M/MV5BMTUzMTM0NTQ4Nl5BMl5BanBnXkFtZTYwNDc2MTY5._V1_SX400_.jpg
Ali G Indahouse,2002,6.0,3326,['Comedy'],,['Mark Mylod'],"['Sacha Baron Cohen', 'Emilio Rivera', 'Gina La Piana']",2002-03-22,5100,http://ia.media-imdb.com/images/M/MV5BMTQ1Nzk4OTUwNl5BMl5BanBnXkFtZTcwMTY0MDcyMQ@@._V1_SX400_.jpg
Alice in Wonderland,2010,6.5,323,"['Adventure', 'Family', 'Fantasy']","19-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",['Tim Burton'],"['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter']",2010-03-03,6480,http://ia.media-imdb.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX400_.jpg
Alice in Wonderland,1951,7.4,1835,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn']",1951-07-26,4500,http://ia.media-imdb.com/images/M/MV5BMzc4NzE1NjUxNV5BMl5BanBnXkFtZTcwNzc2NDQyMQ@@._V1_SX400_.jpg
Alice in Wonderland 2,2015,0.0,3636,"['Adventure', 'Family', 'Fantasy']",,['James Bobin'],['Johnny Depp'],2015-01-01,0,
Alien,1979,8.5,429,"['Horror', 'Sci-Fi']",The space vessel Nostromo and its crew receive a distress call from a alien planet. After searching for survivors that planet they head back home only to realize that an deadly alien life form has joined them.,['Ridley Scott'],"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']",1979-05-25,7020,http://ia.media-imdb.com/images/M/MV5BMTk3NzkwMjA3OV5BMl5BanBnXkFtZTYwMTIwOTk2._V1_SX400_.jpg
Alien Uprising,2012,3.0,2168,['Sci-Fi'],,['Dominic Burns'],"['Bianca Bree', 'Andrew Shim', 'Sean Brosnan']",2012-12-14,6060,http://ia.media-imdb.com/images/M/MV5BMTY2MDA4NTcxN15BMl5BanBnXkFtZTcwOTM2Njk2OQ@@._V1_SX400_.jpg
Alien: Resurrection,1997,6.2,1458,"['Action', 'Sci-Fi', 'Thriller']","200 years after her death, Ellen Ripley is revived as a powerful human/Alien hybrid clone who must continue her war against the Aliens.",['Jean-Pierre Jeunet'],"['Sigourney Weaver', 'Winona Ryder', 'Dominique Pinon']",1997-11-06,6540,http://ia.media-imdb.com/images/M/MV5BMTc2MDIyMjc3N15BMl5BanBnXkFtZTcwNzQzODAwMQ@@._V1_SX400_.jpg
Aliens,1986,8.5,552,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","The planet from [link=tt0078748] has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?",['James Cameron'],"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']",1986-07-18,8220,http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SX400_.jpg
Aliens in the Attic,2009,5.3,3323,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",A group of kids must protect their vacation home from invading aliens.,['John Schultz'],"['Ashley Tisdale', 'Robert Hoffman', 'Carter Jenkins']",2009-07-30,5160,http://ia.media-imdb.com/images/M/MV5BMTk3NTMzNTIxNV5BMl5BanBnXkFtZTcwOTI4ODU1Mg@@._V1_SX400_.jpg
Alien³,1992,6.4,1702,"['Action', 'Sci-Fi', 'Thriller']","Ripley continues to be stalked by a savage alien, after her escape pod crashes on a prison planet.",['David Fincher'],"['Sigourney Weaver', 'Charles S. Dutton', 'Charles Dance']",1992-05-22,6840,http://ia.media-imdb.com/images/M/MV5BMTQzMTg3NTM2Ml5BMl5BanBnXkFtZTcwMTkzMTk3OA@@._V1_SX400_.jpg
Alive,1993,6.9,2977,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller']",Uruguayan rugby team stranded in the snow swept Andes are forced to use desperate measures to survive after a plane crash.,['Frank Marshall'],"['Ethan Hawke', 'Vincent Spano', 'Josh Hamilton']",1993-01-15,7200,http://ia.media-imdb.com/images/M/MV5BMTU4MTc2ODMyNl5BMl5BanBnXkFtZTcwMDYxNDYxMQ@@._V1_SX400_.jpg
All About Eve,1950,8.4,3250,['Drama'],An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.,['Joseph L. Mankiewicz'],"['Bette Davis', 'Anne Baxter', 'George Sanders']",1950-10-13,8280,http://ia.media-imdb.com/images/M/MV5BMjE4MDg3ODUzMF5BMl5BanBnXkFtZTcwODY1ODg3OA@@._V1_SX400_.jpg
All About Steve,2009,4.7,1923,['Comedy'],"Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together.",['Phil Traill'],"['Sandra Bullock', 'Bradley Cooper', 'Thomas Haden Church']",2009-09-04,5940,http://ia.media-imdb.com/images/M/MV5BMTA5MTQxOTE2OTReQTJeQWpwZ15BbWU3MDY5NzI4NzI@._V1_SX400_.jpg
All Good Things,2010,6.2,1360,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']","Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",['Andrew Jarecki'],"['Ryan Gosling', 'Kirsten Dunst', 'Frank Langella']",2010-11-05,6060,http://ia.media-imdb.com/images/M/MV5BMTcwMjIyMTc2Nl5BMl5BanBnXkFtZTcwOTQyMzc5Mw@@._V1_SX400_.jpg
All Is Bright,2013,5.3,464,"['Comedy', 'Drama']","While out on parole, Dennis reluctantly takes a job selling Christmas trees with his old buddy Rene in order to make enough money to buy his estranged daughter the piano she's always wanted.",['Phil Morrison'],"['Paul Giamatti', 'Paul Rudd', 'Sally Hawkins']",2013-04-18,6420,http://ia.media-imdb.com/images/M/MV5BMjE2ODg4MDUzOF5BMl5BanBnXkFtZTgwMzk5MjkxMDE@._V1_SX400_.jpg
All Is Lost,2013,7.1,395,"['Action', 'Drama']","After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.",['J.C. Chandor'],['Robert Redford'],2013-05-22,6360,http://ia.media-imdb.com/images/M/MV5BMjI0MzIyMjU1N15BMl5BanBnXkFtZTgwOTk1MjQxMDE@._V1_SX400_.jpg
All Quiet on the Western Front,1930,8.0,3784,"['Drama', 'War']",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,['Lewis Milestone'],"['Lew Ayres', 'Louis Wolheim', 'John Wray']",1930-04-21,8160,http://ia.media-imdb.com/images/M/MV5BNTM5OTg2NDY1NF5BMl5BanBnXkFtZTcwNTQ4MTMwNw@@._V1_SX400_.jpg
All Stars,2013,3.4,3991,['Comedy'],Two kids look to throw an ambitious dance show in order to save their struggling youth center.,['Ben Gregor'],"['Theo Stevenson', 'Akai Osei-Mansfield', 'Ashley Jensen']",2013-05-03,6360,http://ia.media-imdb.com/images/M/MV5BMjI0NDE2OTA4Ml5BMl5BanBnXkFtZTcwODU5NzQzOQ@@._V1_SX400_.jpg
All the Boys Love Mandy Lane,2006,5.6,1787,"['Horror', 'Mystery', 'Thriller']","A group of high-schoolers invite Mandy Lane, a good girl who became quite hot over the summer, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop quite mysteriously.",['Jonathan Levine'],"['Amber Heard', 'Anson Mount', 'Whitney Able']",2006-09-09,5400,http://ia.media-imdb.com/images/M/MV5BMzM0MjU1MzUzMF5BMl5BanBnXkFtZTcwMjcwNDQyOQ@@._V1_SX400_.jpg
All the King's Men,2006,6.0,4064,"['Drama', 'Thriller']","Based on the Robert Penn Warren novel. The life of populist Southerner Willie Stark, a political creature loosely based on Governor Huey Long of Louisiana.",['Steven Zaillian'],"['Sean Penn', 'Jude Law', 'Kate Winslet']",2006-09-10,7680,http://ia.media-imdb.com/images/M/MV5BMzY1MTIyNDg4MF5BMl5BanBnXkFtZTcwODQ4MTEzMw@@._V1_SX400_.jpg
All the President's Men,1976,8.0,3702,"['Drama', 'History', 'Mystery', 'Thriller']",Reporters Woodward and Bernstein uncover the details of the Watergate scandal that leads to President Nixon's resignation.,['Alan J. Pakula'],"['Dustin Hoffman', 'Robert Redford', 'Jack Warden']",1976-04-04,8280,http://ia.media-imdb.com/images/M/MV5BODAxMTc4ODcxNF5BMl5BanBnXkFtZTcwNDY0NTAyMQ@@._V1_SX400_.jpg
All the Real Girls,2003,6.8,4891,"['Drama', 'Romance']",Small-town love story of a young man with a reputation for womanizing and his best friend's sister.,['David Gordon Green'],"['Zooey Deschanel', 'Paul Schneider', 'Patricia Clarkson']",2003-01-19,6480,http://ia.media-imdb.com/images/M/MV5BMTQ2MTI5NDY2M15BMl5BanBnXkFtZTYwNDc1MDI3._V1_SX400_.jpg
All the Right Moves,1983,5.7,3763,"['Drama', 'Romance', 'Sport']",A high school footballer desperate for a scholarship and his headstrong coach clash in a dying Pennsylvania steel town.,['Michael Chapman'],"['Tom Cruise', 'Lea Thompson', 'Craig T. Nelson']",1983-10-21,5460,http://ia.media-imdb.com/images/M/MV5BMTI3NjgwODU2MF5BMl5BanBnXkFtZTcwOTI0NTI1MQ@@._V1_SX400_.jpg
Almost Famous,2000,7.9,599,"['Drama', 'Music']",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies it on their concert tour.,['Cameron Crowe'],"['Billy Crudup', 'Frances McDormand', 'Kate Hudson']",2000-09-08,7320,http://ia.media-imdb.com/images/M/MV5BMTI0MDc0MzIyM15BMl5BanBnXkFtZTYwMzc4NzA5._V1_SX400_.jpg
Alone in the Dark,2005,2.3,4404,"['Action', 'Horror']","Based on the video game, Alone in the Dark focuses on Edward Carnby, a detective of the paranormal, who slowly unravels a mysterious events with deadly results.",['Uwe Boll'],"['Christian Slater', 'Tara Reid', 'Stephen Dorff']",2005-01-28,5760,http://ia.media-imdb.com/images/M/MV5BMTIxNDI5ODY2MF5BMl5BanBnXkFtZTcwNzQ1NzcyMQ@@._V1_SX400_.jpg
Along Came Polly,2004,5.8,1385,"['Comedy', 'Romance']",A buttoned up newlywed finds his too organized life falling into chaos when he falls in love with an old classmate.,['John Hamburg'],"['Ben Stiller', 'Jennifer Aniston', 'Debra Messing']",2004-01-12,5400,http://ia.media-imdb.com/images/M/MV5BMTcxMDMwODg3Nl5BMl5BanBnXkFtZTYwMTM4NTY3._V1_SX400_.jpg
Along Came a Spider,2001,6.2,2804,"['Action', 'Crime', 'Mystery', 'Thriller']","A congressman's daughter under Secret Service protection is kidnapped from a private school by an insider who calls Det. Alex Cross, sucking him into the case even though he's recovering from the loss of his partner.",['Lee Tamahori'],"['Morgan Freeman', 'Michael Wincott', 'Monica Potter']",2001-04-02,6240,http://ia.media-imdb.com/images/M/MV5BMTQ0ODQ3ODI0OV5BMl5BanBnXkFtZTYwMTE5NDk4._V1_SX400_.jpg
Alpha Dog,2006,6.8,911,"['Biography', 'Crime', 'Drama']","A drama based on the life of Jesse James Hollywood, a drug dealer who became one of the youngest men ever to be on the FBI's most wanted list.",['Nick Cassavetes'],"['Emile Hirsch', 'Justin Timberlake', 'Anton Yelchin']",2006-01-27,7320,http://ia.media-imdb.com/images/M/MV5BMjExODMyNzQzMl5BMl5BanBnXkFtZTYwNzMwNTg3._V1_SX400_.jpg
Alvin and the Chipmunks,2007,5.2,3130,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']","A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",['Tim Hill'],"['Jason Lee', 'David Cross', 'Cameron Richardson']",2007-12-13,5520,http://ia.media-imdb.com/images/M/MV5BMTIwOTE4MTU4MV5BMl5BanBnXkFtZTcwMDk1MDU1MQ@@._V1_SX400_.jpg
Alvin and the Chipmunks: Chipwrecked,2011,4.1,2586,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",['Mike Mitchell'],"['Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney']",2011-12-14,5220,http://ia.media-imdb.com/images/M/MV5BMTMyMTU3NTg5Nl5BMl5BanBnXkFtZTcwNDMyMjc2NQ@@._V1_SX400_.jpg
Alvin and the Chipmunks: The Squeakquel,2009,4.2,3223,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']","The world famous singing pre-teen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",['Betty Thomas'],"['Jason Lee', 'Zachary Levi', 'David Cross']",2009-12-11,5280,http://ia.media-imdb.com/images/M/MV5BMjI0NTc3MjU5M15BMl5BanBnXkFtZTcwODM4Nzg2Mg@@._V1_SX400_.jpg
Always,1989,6.2,4576,"['Fantasy', 'Romance', 'Drama']",A romantic adventure about a legendary pilot's passion for dare-devil firefighting and his girl.,['Steven Spielberg'],"['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson']",1989-12-22,7320,http://ia.media-imdb.com/images/M/MV5BMjAxMjM3NzI5Ml5BMl5BanBnXkFtZTcwNDQ1NTMyMQ@@._V1_SX400_.jpg
Amadeus,1984,8.3,1056,"['Biography', 'Drama', 'Music']","The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.",['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",1984-09-06,9600,http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX400_.jpg
Amazing Grace,2006,7.3,3489,"['Biography', 'Drama', 'History', 'Romance']","The idealist William Wilberforce maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",['Michael Apted'],"['Ioan Gruffudd', 'Albert Finney', 'Michael Gambon']",2006-09-16,7020,http://ia.media-imdb.com/images/M/MV5BMTI5MTkxMDA4M15BMl5BanBnXkFtZTcwNjA4Mjg0MQ@@._V1_SX400_.jpg
Amber Alert,2012,4.1,4478,"['Horror', 'Thriller']","When a group of friends decides to follow a car they've seen posted on an Amber Alert, things start to go very wrong.",['Kerry Bellessa'],"['Summer Bellessa', 'Chris Hill', 'Jasen Wade']",2012-11-02,0,http://ia.media-imdb.com/images/M/MV5BMTkyNjEzMzI4MF5BMl5BanBnXkFtZTcwMjE3MDk2OA@@._V1_SX400_.jpg
Amelia,2009,5.7,4941,"['Adventure', 'Biography', 'Drama', 'Romance']","A look at the life of legendary American pilot Amelia Earhart, who disappeared while flying over the Pacific Ocean in 1937 in an attempt to make a flight around the world.",['Mira Nair'],"['Hilary Swank', 'Richard Gere', 'Ewan McGregor']",2009-10-23,6660,http://ia.media-imdb.com/images/M/MV5BMTI5NTI3MjA4M15BMl5BanBnXkFtZTcwMTM3Mzc3Mg@@._V1_SX400_.jpg
American Beauty,1999,8.5,210,['Drama'],"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation for his daughter's attractive friend.",['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",1999-09-08,7320,http://ia.media-imdb.com/images/M/MV5BOTU1MzExMDg3N15BMl5BanBnXkFtZTcwODExNDg3OA@@._V1_SX400_.jpg
American Gangster,2007,7.8,873,"['Biography', 'Crime', 'Drama']","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.",['Ridley Scott'],"['Denzel Washington', 'Russell Crowe', 'Chiwetel Ejiofor']",2007-10-19,9420,http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1_SX400_.jpg
American Gigolo,1980,6.0,4698,"['Crime', 'Drama', 'Thriller']",,['Paul Schrader'],"['Richard Gere', 'Lauren Hutton', 'Hector Elizondo']",1980-02-01,7020,http://ia.media-imdb.com/images/M/MV5BMTM2MTcyMjkxN15BMl5BanBnXkFtZTcwMTkyMzIyMQ@@._V1_SX400_.jpg
American Graffiti,1973,7.5,1165,"['Comedy', 'Drama']",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,['George Lucas'],"['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat']",1973-08-01,6600,http://ia.media-imdb.com/images/M/MV5BMjI5NjM5MjIyNF5BMl5BanBnXkFtZTgwNjg2MTUxMDE@._V1_SX400_.jpg
American History X,1998,8.6,332,"['Crime', 'Drama']",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,['Tony Kaye'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",1998-10-30,7140,http://ia.media-imdb.com/images/M/MV5BMjMzNDUwNTIyMF5BMl5BanBnXkFtZTcwNjMwNDg3OA@@._V1_SX400_.jpg
American Hustle,2013,0.0,203,['Drama'],"The story of a con artist and his partner in crime, who were forced to work with a federal agent to turn the tables on other cons, mobsters, and politicians - namely, the volatile mayor of impoverished Camden, New Jersey.",['David O. Russell'],"['Christian Bale', 'Amy Adams', 'Bradley Cooper']",2013-12-13,0,http://ia.media-imdb.com/images/M/MV5BMjkyNDY3Mzg2Ml5BMl5BanBnXkFtZTgwMzU0OTYzMDE@._V1_SX400_.jpg
American Mary,2012,6.1,795,"['Horror', 'Thriller']",,"['Jen Soska', 'Sylvia Soska']","['Katharine Isabelle', 'Antonio Cupo', 'Tristan Risk']",2012-08-27,6180,http://ia.media-imdb.com/images/M/MV5BODM4ODk4MTU2MV5BMl5BanBnXkFtZTcwNTk0MzczOQ@@._V1_SX400_.jpg
American Pie,1999,6.9,247,"['Comedy', 'Romance']",Four teenage boys enter a pact to lose their virginity by prom night.,"['Paul Weitz', 'Chris Weitz']","['Jason Biggs', 'Chris Klein', 'Thomas Ian Nicholas']",1999-07-09,5700,http://ia.media-imdb.com/images/M/MV5BMTY4MDU1MDM4OV5BMl5BanBnXkFtZTYwNTcxNTc5._V1_SX400_.jpg
American Pie 2,2001,6.2,1531,"['Comedy', 'Romance']",The continuing bawdy adventures of a group of friends reuniting after their first year of college.,['J.B. Rogers'],"['Jason Biggs', 'Seann William Scott', 'Shannon Elizabeth']",2001-08-06,6480,http://ia.media-imdb.com/images/M/MV5BMTc0Mzc1ODI0MV5BMl5BanBnXkFtZTYwMjA0ODc5._V1_SX400_.jpg
American Psycho,2000,7.5,361,"['Crime', 'Drama']","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",['Mary Harron'],"['Christian Bale', 'Justin Theroux', 'Josh Lucas']",2000-01-21,6120,http://ia.media-imdb.com/images/M/MV5BMjM0NTQ4MTk1NV5BMl5BanBnXkFtZTcwMTY2MDkyMQ@@._V1_SX400_.jpg
American Reunion,2012,6.7,592,['Comedy'],"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.","['Jon Hurwitz', 'Hayden Schlossberg']","['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott']",2012-04-04,6780,http://ia.media-imdb.com/images/M/MV5BMTY4MTEyMzU1N15BMl5BanBnXkFtZTcwNDQ0NTc1Nw@@._V1_SX400_.jpg
